time_start;time_end;model;launch_place;target;launched;destroyed;not_reach_goal
2024-01-24;2024-01-24;Merlin-VR;;Kherson oblast;2.0;2;
2024-01-17;2024-01-17;Reconnaissance UAV;;Kherson oblast;1.0;1;
2024-01-16;2024-01-16;Orlan-10;;Kherson oblast;1.0;1;
2024-01-15;2024-01-15;ZALA;;Kherson oblast;2.0;2;
2024-01-13;2024-01-13;Merlin-VR;;Kherson oblast;1.0;1;
2024-01-09;2024-01-09;Supercam;;Kherson oblast;1.0;1;
2024-01-09;2024-01-09;Merlin-VR;;Kherson oblast;1.0;1;
2024-01-06;2024-01-06;Supercam;;Kherson oblast;1.0;1;
2024-01-05;2024-01-05;Orlan-10;;Kherson oblast;1.0;1;
2024-01-05;2024-01-05;Merlin-VR;;Kherson oblast;2.0;2;
2024-01-04;2024-01-04;Lancet;;Kherson oblast;1.0;1;
2024-01-02;2024-01-02;ZALA;;Kherson oblast;1.0;1;
2024-01-02;2024-01-02;Lancet;;Kherson oblast;5.0;5;
2024-01-01;2024-01-01;Merlin-VR;;Kherson oblast;1.0;1;
2024-01-01;2024-01-01;Lancet;;Kherson oblast;2.0;2;
2023-12-28;2023-12-28;Supercam;;Kherson oblast;1.0;1;
2023-12-26;2023-12-26;Supercam;;Kherson oblast;1.0;1;
2023-12-26;2023-12-26;Merlin-VR;;Kherson oblast;1.0;1;
2023-12-24;2023-12-24;ZALA;;Kherson oblast;1.0;1;
2023-12-05;2023-12-05;ZALA;;Kherson oblast;2.0;2;
2023-12-05;2023-12-05;Merlin-VR;;Kherson oblast;2.0;2;
2023-12-05;2023-12-05;Lancet;;Kherson oblast;1.0;1;
2023-12-03;2023-12-03;Supercam;;Kherson oblast;1.0;1;
2023-12-01;2023-12-01;Lancet;Primorsko-Akhtarsk and Chauda, Crimea;Kherson oblast;1.0;1;
2023-11-28;2023-11-28;Orlan-10;south;Kherson oblast;1.0;1;
2023-11-24;2023-11-24;Orlan-10;;Kherson oblast;1.0;1;
2023-11-02;2023-11-02;Lancet;;Kherson oblast;1.0;1;
2023-10-31;2023-10-31;Lancet;;Kherson oblast;3.0;3;
2023-10-30;2023-10-30;Lancet;;Kherson oblast;2.0;2;
2023-10-29;2023-10-29;Merlin-VR;;Kherson oblast;1.0;1;
